"","Label","Index"
0,"myoLV_act","1.0"
1,"grey_matter_act","2.0"
2,"myoLA_act","3.0"
3,"myoRA_act","4.0"
4,"bldplLV_act","5.0"
5,"bldplRV_act","6.0"
6,"bldplLA_act","7.0"
7,"bldplRA_act","8.0"
8,"body_activity","9.0"
9,"muscle_activity","10.0"
10,"brain_activity","11.0"
11,"0","12.0"
12,"liver_activity","13.0"
13,"gall_bladder_activity","14.0"
14,"right lung_activity","15.0"
15,"left lung_activity","16.0"
16,"esophagus_activity","17.0"
17,"esophagus_contents_activity","18.0"
18,"laryngopharynx_activity","19.0"
19,"st_wall_activity","20.0"
20,"st_cnts_activity","21.0"
21,"pancreas_activity","22.0"
22,"right kidney_cortex_activity","23.0"
23,"right kidney_medulla_activity","24.0"
24,"left kidney_cortex_activity","25.0"
25,"left kidney_medulla_activity","26.0"
26,"adrenal_activity","27.0"
27,"right renal_pelvis_activity","28.0"
28,"left renal_pelvis_activity","29.0"
29,"spleen_activity","30.0"
30,"rib_activity","31.0"
31,"cortical_bone_activity","32.0"
32,"spine_activity","33.0"
33,"0","34.0"
34,"bone_marrow_activity","35.0"
35,"art_activity","36.0"
36,"vein_activity","37.0"
37,"bladder_activity","38.0"
38,"prostate_activity","39.0"
39,"asc_large_intest_activity","40.0"
40,"trans_large_intest_activity","41.0"
41,"desc_large_intest_activity","42.0"
42,"small_intest_activity","43.0"
43,"rectum_activity","44.0"
44,"sem_activity","45.0"
45,"vas_def_activity","46.0"
46,"test_activity","47.0"
47,"epididymus_activity","48.0"
48,"ejac_duct_activity","49.0"
49,"pericardium_activity","50.0"
50,"cartilage_activity","51.0"
51,"intest_air_activity","52.0"
52,"ureter_activity","53.0"
53,"urethra_activity","54.0"
54,"lymph_activity","55.0"
55,"lymph_abnormal_activity","56.0"
56,"trach_bronch_activity","57.0"
57,"airway_activity","58.0"
58,"uterus_activity","59.0"
59,"vagina_activity","60.0"
60,"right_ovary_activity","61.0"
61,"left_ovary_activity","62.0"
62,"fallopian_tubes_activity","63.0"
63,"parathyroid_activity","64.0"
64,"0","65.0"
65,"thymus_activity","66.0"
66,"salivary_activity","67.0"
67,"pituitary_activity","68.0"
68,"eye_activity","69.0"
69,"lens_activity","70.0"
70,"lesn_activity","71.0"
71,"0","72.0"
72,"0","73.0"
73,"0","74.0"
74,"0","75.0"
75,"0","76.0"
76,"0","77.0"
77,"0","78.0"
78,"0","79.0"
79,"0","80.0"
80,"0","81.0"
81,"0","82.0"
82,"0","83.0"
83,"0","84.0"
84,"0","85.0"
85,"0","86.0"
86,"0","87.0"
87,"0","88.0"
88,"0","89.0"
89,"0","90.0"
90,"0","91.0"
91,"0","92.0"
92,"0","93.0"
93,"0","94.0"
94,"0","95.0"
95,"0","96.0"
96,"0","97.0"
97,"0","98.0"
98,"0","99.0"
99,"0","100.0"
